2024-06-23 23:06:101 INFO  LoginPage :56 - Enter User Name: Admin
2024-06-23 23:06:426 INFO  LoginPage :66 - Enter Password: admin123
2024-06-23 23:06:527 INFO  LoginPage :61 - Clicking on Login Button: [[ChromeDriver: chrome on windows (a1cd9dccc9e11beb1ab7b7aee29ae99a)] -> xpath: //button[@type='submit']]
2024-06-23 23:06:627 INFO  DashboardPage :37 - Verifying Dashboard Page: [[ChromeDriver: chrome on windows (a1cd9dccc9e11beb1ab7b7aee29ae99a)] -> xpath: //div[@class='oxd-topbar-header']/div[1]/span[1]/h6[1]]
2024-06-23 23:06:795 INFO  LoginPage :56 - Enter User Name: Admin
2024-06-23 23:06:687 INFO  LoginPage :56 - Enter User Name: Admin
2024-06-23 23:06:04 INFO  LoginPage :66 - Enter Password: admin123
2024-06-23 23:06:109 INFO  LoginPage :61 - Clicking on Login Button: [[ChromeDriver: chrome on windows (cd880b0d3760cac5ebcd6319b099e9b2)] -> xpath: //button[@type='submit']]
2024-06-24 18:06:595 INFO  LoginPage :41 - Enter User Name: Admin
2024-06-24 18:06:933 INFO  LoginPage :51 - Enter Password: admin123
2024-06-24 18:06:03 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (a1aecb3647106b0382b1b3f81681200b)] -> xpath: //button[@type='submit']]
2024-06-24 18:06:151 INFO  DashboardPage :36 - Verifying Dashboard Page: [[ChromeDriver: chrome on windows (a1aecb3647106b0382b1b3f81681200b)] -> xpath: //div[@class='oxd-topbar-header']/div[1]/span[1]/h6[1]]
2024-06-24 18:06:533 INFO  LoginPage :41 - Enter User Name: Admin
2024-06-24 18:06:883 INFO  LoginPage :51 - Enter Password: admin123
2024-06-24 18:06:949 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (ff256318473b795b30838a84b686bf8e)] -> xpath: //button[@type='submit']]
2024-06-24 18:06:234 INFO  DashboardPage :41 - Verifying Orange HRM Logo: [[ChromeDriver: chrome on windows (ff256318473b795b30838a84b686bf8e)] -> xpath: //img[@alt='client brand banner']]
2024-06-24 18:06:540 INFO  LoginPage :41 - Enter User Name: Admin
2024-06-24 18:06:920 INFO  LoginPage :51 - Enter Password: admin123
2024-06-24 18:06:983 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (213193000ee7b9e05065f4f3f036c60f)] -> xpath: //button[@type='submit']]
2024-06-24 18:06:145 INFO  DashboardPage :27 - Clicking on user profile logo : [[ChromeDriver: chrome on windows (213193000ee7b9e05065f4f3f036c60f)] -> xpath: //img[@class='oxd-userdropdown-img']]
2024-06-24 18:06:224 INFO  DashboardPage :32 - Clicking on logout link : [[ChromeDriver: chrome on windows (213193000ee7b9e05065f4f3f036c60f)] -> xpath: //a[normalize-space()='Logout']]
2024-06-24 18:06:587 INFO  LoginPage :41 - Enter User Name: 
2024-06-24 18:06:929 INFO  LoginPage :51 - Enter Password: 
2024-06-24 18:06:992 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (e59ffc479497d6e32f823a2a4517aca8)] -> xpath: //button[@type='submit']]
2024-06-24 18:06:27 INFO  LoginPage :57 - Getting username field blank error message : [[ChromeDriver: chrome on windows (e59ffc479497d6e32f823a2a4517aca8)] -> xpath: //div[@class='orangehrm-login-slot-wrapper']//div[1]//div[1]//span[1]]
2024-06-24 18:06:385 INFO  LoginPage :41 - Enter User Name: test123@gmail.com
2024-06-24 18:06:769 INFO  LoginPage :51 - Enter Password: 
2024-06-24 18:06:825 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (0881981bb52ba97b2048af2456511303)] -> xpath: //button[@type='submit']]
2024-06-24 18:06:860 INFO  LoginPage :62 - Getting password field blank error message : [[ChromeDriver: chrome on windows (0881981bb52ba97b2048af2456511303)] -> xpath: //span[@class='oxd-text oxd-text--span oxd-input-field-error-message oxd-input-group__message']]
2024-06-24 18:06:618 INFO  LoginPage :41 - Enter User Name: 
2024-06-24 18:06:935 INFO  LoginPage :51 - Enter Password: test123
2024-06-24 18:06:15 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (757f33c471ce21957b45297066767992)] -> xpath: //button[@type='submit']]
2024-06-24 18:06:54 INFO  LoginPage :57 - Getting username field blank error message : [[ChromeDriver: chrome on windows (757f33c471ce21957b45297066767992)] -> xpath: //div[@class='orangehrm-login-slot-wrapper']//div[1]//div[1]//span[1]]
2024-06-24 18:06:699 INFO  LoginPage :41 - Enter User Name: test123@gmail.com
2024-06-24 18:06:986 INFO  LoginPage :51 - Enter Password: test123
2024-06-24 18:06:58 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (1a0f3b4431382f3eacd843f3bcff9c9e)] -> xpath: //button[@type='submit']]
2024-06-24 18:06:739 INFO  LoginPage :67 - Getting invalid credential error message : [[ChromeDriver: chrome on windows (1a0f3b4431382f3eacd843f3bcff9c9e)] -> xpath: //p[@class='oxd-text oxd-text--p oxd-alert-content-text']]
2024-06-24 18:06:134 INFO  LoginPage :41 - Enter User Name: Admin
2024-06-24 18:06:428 INFO  LoginPage :51 - Enter Password: admin123
2024-06-24 18:06:508 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (81918d790748f452736173894326be94)] -> xpath: //button[@type='submit']]
2024-06-24 18:06:521 INFO  HomePage :37 - Clicking on Admin link : [[ChromeDriver: chrome on windows (81918d790748f452736173894326be94)] -> xpath: //li[1]//a[1]//span[1]]
2024-06-24 18:06:753 INFO  ViewSystemUsersPage :112 - Verifying System User Text: [[ChromeDriver: chrome on windows (81918d790748f452736173894326be94)] -> xpath: //h5[@class='oxd-text oxd-text--h5 oxd-table-filter-title']]
2024-06-24 18:06:777 INFO  ViewSystemUsersPage :117 - Clicking on Add button: [[ChromeDriver: chrome on windows (81918d790748f452736173894326be94)] -> xpath: //button[@class='oxd-button oxd-button--medium oxd-button--secondary']]
2024-06-24 18:06:449 INFO  ViewSystemUsersPage :122 - Verifying User added text: Add User
2024-06-24 18:06:464 INFO  AddUserPage :23 - Clicking on UserRole drop-down : [[ChromeDriver: chrome on windows (81918d790748f452736173894326be94)] -> xpath: (//div[@class = 'oxd-select-wrapper'])[1]]
2024-06-24 18:06:589 INFO  AddUserPage :28 - Clicking on Admin option in UserRole drop-down : [[ChromeDriver: chrome on windows (81918d790748f452736173894326be94)] -> xpath: //span[contains(text(),'Admin')]]
2024-06-24 18:06:658 INFO  ViewSystemUsersPage :128 - Entering Employee name: Proxy element for: DefaultElementLocator 'By.xpath: //*[@class='oxd-autocomplete-wrapper']//*[contains(text(),'Ranga  Akunuri')]'
2024-06-24 18:06:796 INFO  ViewSystemUsersPage :135 - Entering User: [[ChromeDriver: chrome on windows (81918d790748f452736173894326be94)] -> xpath: //div[@class='oxd-form-row']/div[1]/div[4]/div[1]/div[2]/input[1]]
2024-06-24 18:06:905 INFO  ViewSystemUsersPage :140 - Selecting Status Disable: Proxy element for: DefaultElementLocator 'By.xpath: //*[@class='oxd-select-wrapper']//*[contains(text(),'Disabled')]'
2024-06-24 18:06:995 INFO  ViewSystemUsersPage :149 - Entering Password: [[ChromeDriver: chrome on windows (81918d790748f452736173894326be94)] -> xpath: //div[@class='orangehrm-card-container']/form[1]/div[2]/div[1]/div[1]/div[1]/div[2]/input[1]]
2024-06-24 18:06:44 INFO  ViewSystemUsersPage :154 - Entering Confirm Password: [[ChromeDriver: chrome on windows (81918d790748f452736173894326be94)] -> xpath: //div[@class='orangehrm-card-container']/form[1]/div[2]/div[1]/div[2]/div[1]/div[2]/input[1]]
2024-06-24 18:06:91 INFO  ViewSystemUsersPage :159 - Clicking on Save: [[ChromeDriver: chrome on windows (81918d790748f452736173894326be94)] -> xpath: //button[@class='oxd-button oxd-button--medium oxd-button--secondary orangehrm-left-space']]
2024-06-24 18:06:528 INFO  ViewSystemUsersPage :164 - Getting User Added Successfully message : [[ChromeDriver: chrome on windows (81918d790748f452736173894326be94)] -> xpath: //p[@class='oxd-text oxd-text--p oxd-text--toast-message oxd-toast-content-text']]
2024-06-24 18:06:237 INFO  LoginPage :41 - Enter User Name: Admin
2024-06-24 18:06:561 INFO  LoginPage :51 - Enter Password: admin123
2024-06-24 18:06:640 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (3588d4074d8478dfb51155f4848f0383)] -> xpath: //button[@type='submit']]
2024-06-24 18:06:29 INFO  HomePage :37 - Clicking on Admin link : [[ChromeDriver: chrome on windows (3588d4074d8478dfb51155f4848f0383)] -> xpath: //li[1]//a[1]//span[1]]
2024-06-24 18:06:329 INFO  ViewSystemUsersPage :112 - Verifying System User Text: [[ChromeDriver: chrome on windows (3588d4074d8478dfb51155f4848f0383)] -> xpath: //h5[@class='oxd-text oxd-text--h5 oxd-table-filter-title']]
2024-06-24 18:06:394 INFO  ViewSystemUsersPage :171 - Enter nishit86 to User Name field : [[ChromeDriver: chrome on windows (3588d4074d8478dfb51155f4848f0383)] -> xpath: //div[@class='oxd-input-group oxd-input-field-bottom-space']//div//input[@class='oxd-input oxd-input--active']]
2024-06-24 18:06:404 INFO  ViewSystemUsersPage :175 - Clicking on UserRole drop-down : [[ChromeDriver: chrome on windows (3588d4074d8478dfb51155f4848f0383)] -> xpath: //div[@class='oxd-table-filter-area']//div[2]//div[1]//div[2]//div[1]//div[1]//div[1]]
2024-06-24 18:06:436 INFO  ViewSystemUsersPage :180 - Clicking on Admin option in UserRole drop-down : [[ChromeDriver: chrome on windows (3588d4074d8478dfb51155f4848f0383)] -> xpath: //span[contains(text(),'Admin')]]
2024-06-24 18:06:590 INFO  ViewSystemUsersPage :191 - Clicking on Status drop-down : [[ChromeDriver: chrome on windows (3588d4074d8478dfb51155f4848f0383)] -> xpath: (//i)[13]]
2024-06-24 18:06:730 INFO  ViewSystemUsersPage :196 - Clicking on Disable option in Status drop-down : [[ChromeDriver: chrome on windows (3588d4074d8478dfb51155f4848f0383)] -> xpath: //span[normalize-space()='Disabled']]
2024-06-24 18:06:760 INFO  ViewSystemUsersPage :206 - Clicking on Search button : [[ChromeDriver: chrome on windows (3588d4074d8478dfb51155f4848f0383)] -> xpath: //button[normalize-space()='Search']]
2024-06-24 18:06:08 INFO  ViewSystemUsersPage :215 - Getting UserName from record : [[ChromeDriver: chrome on windows (3588d4074d8478dfb51155f4848f0383)] -> xpath: (//div[@data-v-6c07a142])[1]]
2024-06-24 18:06:751 INFO  LoginPage :41 - Enter User Name: Admin
2024-06-24 18:06:53 INFO  LoginPage :51 - Enter Password: admin123
2024-06-24 18:06:109 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (679b6151b7c83f838244f4e9c2200774)] -> xpath: //button[@type='submit']]
2024-06-24 18:06:535 INFO  HomePage :37 - Clicking on Admin link : [[ChromeDriver: chrome on windows (679b6151b7c83f838244f4e9c2200774)] -> xpath: //li[1]//a[1]//span[1]]
2024-06-24 18:06:759 INFO  ViewSystemUsersPage :112 - Verifying System User Text: [[ChromeDriver: chrome on windows (679b6151b7c83f838244f4e9c2200774)] -> xpath: //h5[@class='oxd-text oxd-text--h5 oxd-table-filter-title']]
2024-06-24 18:06:815 INFO  ViewSystemUsersPage :171 - Enter nishit86 to User Name field : [[ChromeDriver: chrome on windows (679b6151b7c83f838244f4e9c2200774)] -> xpath: //div[@class='oxd-input-group oxd-input-field-bottom-space']//div//input[@class='oxd-input oxd-input--active']]
